date;recession;target_recession_3m;prediction;prob_no_recession;prob_recession
2012-09-01;0;0;0,0;0,8802209272508299;0,1197790727491701
2012-10-01;0;0;0,0;0,9067774052734232;0,0932225947265768
2012-11-01;0;0;0,0;0,8874543459889334;0,1125456540110666
2012-12-01;0;0;0,0;0,8776693997523742;0,1223306002476258
2013-01-01;0;0;0,0;0,8986258435734744;0,1013741564265256
2013-02-01;0;0;0,0;0,8355986397428992;0,1644013602571009
2013-03-01;0;0;0,0;0,8233764175206768;0,1766235824793231
2013-04-01;0;0;0,0;0,8522249396881645;0,1477750603118355
2013-05-01;0;0;0,0;0,8104471619103868;0,1895528380896132
2013-06-01;0;0;0,0;0,8102321081469459;0,1897678918530541
2013-07-01;0;0;0,0;0,7419872639832357;0,2580127360167643
2013-08-01;0;0;0,0;0,7233009582507516;0,2766990417492483
2013-09-01;0;0;0,0;0,7035160120141926;0,2964839879858075
2013-10-01;0;0;0,0;0,663702663597903;0,3362973364020971
2013-11-01;0;0;0,0;0,625048913024707;0,3749510869752929
2013-12-01;0;0;0,0;0,6075843691091207;0,3924156308908793
2014-01-01;0;0;0,0;0,6351754953031881;0,3648245046968119
2014-02-01;0;0;0,0;0,5975843691091207;0,4024156308908793
2014-03-01;0;0;0,0;0,5964732579980095;0,4035267420019904
2014-04-01;0;0;0,0;0,5380656245662702;0,4619343754337298
2014-05-01;0;0;0,0;0,5477932005484791;0,4522067994515207
2014-06-01;0;0;0,0;0,5477932005484791;0,4522067994515207
2014-07-01;0;0;0,0;0,5571019563088478;0,4428980436911521
2014-08-01;0;0;0,0;0,5675781467850384;0,4324218532149617
2014-09-01;0;0;0,0;0,5658347145899932;0,4341652854100067
2014-10-01;0;0;0,0;0,5661071386077842;0,4338928613922157
2014-11-01;0;0;0,0;0,6039529941598858;0,3960470058401143
2014-12-01;0;0;0,0;0,6041680479233266;0,3958319520766734
2015-01-01;0;0;0,0;0,5906196608265524;0,4093803391734477
2015-02-01;0;0;0,0;0,5908920848443434;0,4091079151556567
2015-03-01;0;0;0,0;0,5611843212723386;0,4388156787276615
2015-04-01;0;0;0,0;0,5812187898579533;0,4187812101420468
2015-05-01;0;0;0,0;0,5812187898579533;0,4187812101420468
2015-06-01;0;0;0,0;0,601094233832069;0,398905766167931
2015-07-01;0;0;0,0;0,5314054414416636;0,4685945585583363
2015-08-01;0;0;0,0;0,5415066760095649;0,4584933239904351
2015-09-01;0;0;0,0;0,5350688096542315;0,4649311903457686
2015-10-01;0;0;0,0;0,5907192779237797;0,4092807220762203
2015-11-01;0;0;0,0;0,6310332519649665;0,3689667480350335
2015-12-01;0;0;0,0;0,6499682525085113;0,3500317474914886
2016-01-01;0;0;0,0;0,6076591094397903;0,3923408905602097
2016-02-01;0;0;0,0;0,6380559665709423;0,3619440334290577
2016-03-01;0;0;0,0;0,6481729958369359;0,3518270041630641
2016-04-01;0;0;0,0;0,6484585573419922;0,3515414426580077
2016-05-01;0;0;0,0;0,6700040223145115;0,3299959776854885
2016-06-01;0;0;0,0;0,6382730465869799;0,3617269534130202
2016-07-01;0;0;0,0;0,6580728646033582;0,3419271353966416
2016-08-01;0;0;0,0;0,6777063583732328;0,3222936416267672
2016-09-01;0;0;0,0;0,6585709802889264;0,3414290197110737
2016-10-01;0;0;0,0;0,702338118425275;0,2976618815747248
2016-11-01;0;0;0,0;0,6787616984842505;0,3212383015157495
2016-12-01;0;0;0,0;0,682835367217684;0,317164632782316
2017-01-01;0;0;0,0;0,678518420200869;0,3214815797991309
2017-02-01;0;0;0,0;0,6690876042205575;0,3309123957794425
2017-03-01;0;0;0,0;0,64925590922633;0,35074409077367
2017-04-01;0;0;0,0;0,6587744887051661;0,3412255112948338
2017-05-01;0;0;0,0;0,6386674501836163;0,3613325498163837
2017-06-01;0;0;0,0;0,7124435723954212;0,2875564276045788
2017-07-01;0;0;0,0;0,6487579479211728;0,3512420520788272
2017-08-01;0;0;0,0;0,6687744887051661;0,3312255112948338
2017-09-01;0;0;0,0;0,6787025462591229;0,321297453740877
2017-10-01;0;0;0,0;0,7181220141183916;0,2818779858816083
2017-11-01;0;0;0,0;0,7033111536522243;0,2966888463477757
2017-12-01;0;0;0,0;0,7028647330712348;0,2971352669287652
2018-01-01;0;0;0,0;0,7134073074983781;0,2865926925016219
2018-02-01;0;0;0,0;0,6571561083128824;0,3428438916871176
2018-03-01;0;0;0,0;0,6833353806384621;0,3166646193615378
2018-04-01;0;0;0,0;0,6536113891310311;0,3463886108689687
2018-05-01;0;0;0,0;0,6931513270956133;0,3068486729043867
2018-06-01;0;0;0,0;0,643150447356949;0,3568495526430509
2018-07-01;0;0;0,0;0,6587816217798066;0,3412183782201934
2018-08-01;0;0;0,0;0,6792260227698954;0,3207739772301045
2018-09-01;0;0;0,0;0,6826589204016038;0,3173410795983961
2018-10-01;0;0;0,0;0,6487349605138856;0,3512650394861145
2018-11-01;0;0;0,0;0,6389857034124596;0,3610142965875403
2018-12-01;0;0;0,0;0,6483556276511635;0,3516443723488365
2019-01-01;0;0;0,0;0,658548103788086;0,3414518962119139
2019-02-01;0;0;0,0;0,6688090071687072;0,3311909928312928
2019-03-01;0;0;0,0;0,6888309167919574;0,3111690832080426
2019-04-01;0;0;0,0;0,6686286803687934;0,3313713196312066
2019-05-01;0;0;0,0;0,669380879337553;0,3306191206624471
2019-06-01;0;0;0,0;0,699194421502042;0,300805578497958
2019-07-01;0;0;0,0;0,6674188339548719;0,332581166045128
2019-08-01;0;0;0,0;0,7286288560536807;0,2713711439463193
2019-09-01;0;0;0,0;0,7292834422735553;0,2707165577264446
2019-10-01;0;0;0,0;0,7039297925296341;0,2960702074703659
2019-11-01;0;0;0,0;0,7133802398173026;0,2866197601826975
2019-12-01;0;1;0,0;0,7327203242054882;0,2672796757945119
2020-01-01;0;1;0,0;0,7226469064839691;0,2773530935160308
2020-02-01;0;0;0,0;0,7131802398173024;0,2868197601826975
2020-03-01;1;0;0,0;0,595505559706706;0,4044944402932939
2020-04-01;1;0;0,0;0,7373170527728304;0,2626829472271696
2020-05-01;0;0;0,0;0,7398111501887796;0,2601888498112204
2020-06-01;0;0;0,0;0,7180582589173531;0,2819417410826469
2020-07-01;0;0;0,0;0,7385391905615619;0,2614608094384381
2020-08-01;0;0;0,0;0,7531159822375221;0,2468840177624779
2020-09-01;0;0;0,0;0,7579619068142494;0,2420380931857507
2020-10-01;0;0;0,0;0,7379619068142493;0,2620380931857507
2020-11-01;0;0;0,0;0,737555155759397;0,262444844240603
2020-12-01;0;0;0,0;0,748957364697913;0,251042635302087
2021-01-01;0;0;0,0;0,7473709365933078;0,2526290634066921
2021-02-01;0;0;0,0;0,7067212274802966;0,2932787725197033
2021-03-01;0;0;0,0;0,7316765817471751;0,2683234182528249
2021-04-01;0;0;0,0;0,7317312215796129;0,2682687784203871
2021-05-01;0;0;0,0;0,7453033543786751;0,2546966456213249
2021-06-01;0;0;0,0;0,6970077047239792;0,3029922952760207
2021-07-01;0;0;0,0;0,6872594054042512;0,3127405945957486
2021-08-01;0;0;0,0;0,6527495897620181;0,3472504102379818
2021-09-01;0;0;0,0;0,6191860900006497;0,3808139099993503
2021-10-01;0;0;0,0;0,6413008870325136;0,3586991129674864
2021-11-01;0;0;0,0;0,6315610911141463;0,3684389088858538
2021-12-01;0;0;0,0;0,6402501163628289;0,3597498836371711
2022-01-01;0;0;0,0;0,6167445314887346;0,3832554685112654
2022-02-01;0;0;0,0;0,6028562218621509;0,397143778137849
2022-03-01;0;0;0,0;0,5864874738634317;0,4135125261365682
2022-04-01;0;0;0,0;0,5652264349023928;0,4347735650976072
2022-05-01;0;0;0,0;0,5723655672176501;0,4276344327823498
2022-06-01;0;0;0,0;0,5474907406485684;0,4525092593514316
2022-07-01;0;0;0,0;0,580397345662648;0,4196026543373519
2022-08-01;0;0;0,0;0,5884725484121052;0,4115274515878949
2022-09-01;0;0;0,0;0,5925709418381916;0,4074290581618083
2022-10-01;0;0;0,0;0,5985818744952781;0,4014181255047218
2022-11-01;0;0;0,0;0,5690405435841593;0,4309594564158406
2022-12-01;0;0;0,0;0,5426820682813236;0,4573179317186763
2023-01-01;0;0;0,0;0,6225013821348871;0,3774986178651128
2023-02-01;0;0;0,0;0,7042007370539681;0,2957992629460319
2023-03-01;0;0;0,0;0,6406817398740986;0,3593182601259013
2023-04-01;0;0;0,0;0,6427305127731199;0,3572694872268801
2023-05-01;0;0;0,0;0,6829406903542476;0,3170593096457523
2023-06-01;0;0;0,0;0,6712672726327287;0,3287327273672714
2023-07-01;0;0;0,0;0,7164048186866212;0,2835951813133788
2023-08-01;0;0;0,0;0,6755823445412982;0,3244176554587018
2023-09-01;0;0;0,0;0,6957026597761454;0,3042973402238546
2023-10-01;0;0;0,0;0,6726032753882611;0,3273967246117387
2023-11-01;0;0;0,0;0,6740536671905517;0,3259463328094482
2023-12-01;0;0;0,0;0,7062048186866211;0,2937951813133788
2024-01-01;0;0;0,0;0,7356910422669624;0,2643089577330376
2024-02-01;0;0;0,0;0,7099944402646154;0,2900055597353845
2024-03-01;0;0;0,0;0,6957961163809692;0,3042038836190308
2024-04-01;0;0;0,0;0,66747658916512;0,3325234108348801
2024-05-01;0;0;0,0;0,6285184307200397;0,3714815692799604
2024-06-01;0;0;0,0;0,648739053136686;0,351260946863314
2024-07-01;0;0;0,0;0,6091546279589091;0,390845372041091
2024-08-01;0;0;0,0;0,6098999651471207;0,3901000348528793
2024-09-01;0;0;1,0;0,4992731921988947;0,5007268078011052
2024-10-01;0;0;0,0;0,6335017287358798;0,3664982712641202
2024-11-01;0;0;0,0;0,6432110731548843;0,3567889268451156
2024-12-01;0;0;0,0;0,6601879537109383;0,3398120462890617
2025-01-01;0;0;0,0;0,6573367968912378;0,3426632031087622
2025-02-01;0;0;0,0;0,6137728083332926;0,3862271916667074
2025-03-01;0;0;0,0;0,6154977610475632;0,3845022389524369
2025-04-01;0;0;0,0;0,5897227367521306;0,4102772632478694
2025-05-01;0;0;0,0;0,546388916932734;0,453611083067266
2025-06-01;0;0;0,0;0,5793106117386785;0,4206893882613215
2025-07-01;0;0;0,0;0,6076357301404696;0,3923642698595305
2025-08-01;0;0;0,0;0,5760439627273264;0,4239560372726735
2025-09-01;0;0;0,0;0,5061705450058074;0,4938294549941925
2025-10-01;0;0;0,0;0,554363893027739;0,4456361069722609
2025-11-01;0;0;0,0;0,5358818145904118;0,4641181854095881
2025-12-01;0;0;0,0;0,605552400880001;0,3944475991199991
2026-01-01;0;0;0,0;0,5954789790856172;0,4045210209143828
